# Valid entries (sorted by title, no spaces around commas)
1,1984,George Orwell
2,Brave New World,Aldous Huxley
3,Gulliver’s Travels,Jonathan Swift
4,The C Programming Language,Brian Kernighan
5,To Kill a Mockingbird,Harper Lee
6,War and Peace,Leo Tolstoy

# Malformed / to be skipped
7 ,Moby Dick,Herman Melville        ← extra space before comma
8, The Hobbit,J.R.R. Tolkien       ← leading space in title
9,Don Quixote, Miguel de Cervantes ← leading space in author
10, ,Anonymous                      ← empty title
11,Invisible Man                    ← missing author
12,Les Misérables,Victor Hugo,1862  ← too many fields

# Blank lines and trailing whitespace
                                  
13,The Odyssey,Homer               
14,Crime and Punishment,Fyodor Dostoevsky   

